"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","distance","weights","pscore"
518.289,1,1,2,4,4,6,6,2.5915,0.7786,1.2202,0,0.113842642129417,1,0.485349299634903
490.059,1,1,1,4,3,6,6,-0.6334,0.6919,0.961,0,0.110446163226547,1,0.48169979214956
628.292,1,1,1,5,1,6,6,-0.5174,1.2777,1.2589,0,0.130545054972338,1,0.494967314948026
635.299,1,1,1,6,2,6,6,-0.7989,1.3145,1.2725,0,0.148717407767051,1,0.513475669137065
555.348,1,1,2,3,3,5,5,-0.8021,0.6709,0.7921,0,0.0523306262096215,1,0.474433686100775
497.637,2,1,1,4,3,6,6,0.5643,2.4309,1.6001,0,0.145652620465092,1,0.497821316907899
456.57,2,1,1,5,4,6,6,1.5043,1.8398,1.4035,0,0.170455185430201,1,0.516084570036643
366.911,1,1,2,2,4,4,4,2.5915,0.345,-0.5478,0,0.0215410494347918,1,0.4749128720124
425.795,2,1,1,3,4,6,6,2.5915,0.4899,0.5975,1,0.107586389408616,1,0.498336639252054
567.232,1,1,2,6,2,6,6,-1.1267,1.6775,1.1372,1,0.0926135573894323,1,0.550884224784719
503.075,1,1,1,2,4,5,5,0.7246,1.212,0.743,1,0.0660665821073824,1,0.428011730572242
497.481,2,1,1,4,3,6,6,0.4638,2.1449,1.495,1,0.141583446694942,1,0.500482152270266
497.06,2,1,2,4,4,6,6,0.3171,0.751,0.9827,1,0.0929157053954337,1,0.538144655791004
562.322,2,1,2,4,3,6,6,-0.2781,0.8141,1.1299,1,0.0945541568605828,1,0.535711615606703
388.742,1,1,2,4,4,4,4,1.5611,0.9144,0.1832,1,0.0388364159364128,1,0.489333453003808
334.806,1,1,2,4,3,5,5,-0.1144,0.2553,0.1021,1,0.0424099930604529,1,0.518310815457699
428.738,2,1,1,4,4,5,6,1.0269,1.6463,1.4357,1,0.133591458485094,1,0.53257912757452
377.025,2,1,2,3,3,6,6,-0.3381,1.2124,1.3589,1,0.090660091878938,1,0.50989866070925
489.535,2,1,1,4,4,5,5,-0.2015,-0.3135,0.4097,1,0.0870797560892287,1,0.50588765745698
492.182,2,1,1,6,4,4,6,0.1157,2.3223,1.2089,1,0.110174456745846,1,0.624364985669301
359.481,2,1,2,4,4,5,5,0.6642,1.3257,0.7228,1,0.0626852743627241,1,0.529800158388958
443.105,2,1,2,3,4,6,6,0.6642,0.7204,1.1781,1,0.094955201646485,1,0.508838521310871
423.778,1,1,1,3,3,4,4,0.1313,0.6819,0.2837,0,0.0476080515624651,1,0.443120032899163
554.082,2,1,2,1,3,6,6,-0.3381,-0.4505,0.4998,0,0.0522990509593739,1,0.495820673126576
370.02,1,1,2,5,3,6,6,-0.6837,1.9957,1.5021,0,0.103361071253815,1,0.515274780193784
619.576,1,1,1,6,2,6,6,-0.5917,3.2507,2.1287,0,0.189372789769475,1,0.490752273025878
470.734,2,1,1,3,4,6,6,1.5043,2.9115,1.5494,0,0.127848100130593,1,0.480023738556055
536.791,1,1,1,5,4,6,6,0.3171,0.9379,1.2787,0,0.156844017554033,1,0.484036189941651
502.228,2,1,1,3,3,6,6,0.4801,1.12,0.9324,0,0.103720199812096,1,0.49768575006553
578.418,2,1,2,4,4,6,6,1.5611,0.6453,1.0679,0,0.106819740042917,1,0.529075626624821
515.597,1,1,2,3,3,6,6,-0.3381,0.6754,0.6656,0,0.0591251544817747,1,0.50178251694007
455.719,1,1,1,4,4,6,6,2.5915,1.9915,1.5006,0,0.156801537246642,1,0.455615579515205
556.296,1,1,1,2,3,6,6,0.1052,0.1866,0.8373,0,0.0900323615162882,1,0.442173482462547
666.253,1,1,1,4,3,6,6,-0.3381,1.2599,1.521,0,0.144601210956674,1,0.460578726078313
528.016,1,1,1,5,2,6,6,-0.978,2.5656,1.4843,0,0.125382742741411,1,0.495825341308712
408.482,1,1,2,1,1,4,4,-1.6328,-0.7695,0.0396,0,0.022927963701707,1,0.440160301700403
404.014,1,1,2,1,4,4,4,-0.3504,0.2364,0.306,0,0.0278974102304268,1,0.427996400725925
610.919,2,1,2,3,4,6,6,0.6642,1.0642,1.1805,0,0.090612107806949,1,0.511564835625887
488.923,2,1,1,6,1,6,6,-3.1297,1.9119,1.368,0,0.132556306586882,1,0.558106973387295
443.197,1,1,1,3,3,4,4,-0.3381,1.2668,-0.3072,0,0.0288821485893706,1,0.475584024031829
528.721,1,1,2,3,3,6,6,-0.2588,-0.9579,0.334,0,0.0610803407199904,1,0.502730587971882
606.361,1,1,1,4,4,6,6,0.6642,3.6473,1.6958,0,0.126447660419768,1,0.46745722361499
424.721,1,1,1,1,3,6,6,-0.3381,1.0475,1.0504,0,0.0782107046954437,1,0.422562162331646
499.752,2,1,2,3,4,6,6,0.6642,1.473,1.3514,0,0.0949764345997953,1,0.507362288092252
597.641,2,1,1,5,3,6,6,-0.1149,1.9373,1.212,0,0.134305990518676,1,0.532565158029517
575.75,2,1,2,3,3,6,6,-0.4725,0.6395,1.169,0,0.0867787722847971,1,0.514071935693205
547.973,2,2,1,4,3,4,6,-0.3386,0.7312,1.0374,0,0.0639351309394616,1,0.472143881277609
388.419,1,1,2,4,3,6,6,-0.8307,0.9403,1.2176,0,0.0883980730045881,1,0.500493254835309
480.758,1,2,1,5,2,6,6,-1.4115,-1.3942,-0.0329,0,0.0587216220383131,1,0.41870019940252
496.054,1,1,2,4,4,5,5,0.3171,-0.1499,0.3252,0,0.0549626527933748,1,0.502122588004584
556.822,1,1,2,3,3,6,6,-0.5064,0.761,1.069,0,0.0744947873305454,1,0.48521904151321
412.539,2,1,1,2,4,6,6,2.5915,0.8364,0.9934,0,0.115310343817762,1,0.464485320821997
591.86,2,1,1,5,3,6,6,-0.3381,1.8415,1.7554,0,0.182866091966508,1,0.508540178390374
490.506,1,1,1,4,4,6,6,2.5915,3.1813,1.8965,0,0.168025116479377,1,0.447949929871509
465.337,1,1,1,4,3,5,6,-0.3381,0.789,0.8107,0,0.0866023341165455,1,0.525138683434692
532.071,1,1,1,5,3,6,6,0.5643,2.7668,2.0955,0,0.193112336191421,1,0.463507463234245
463.826,1,1,1,5,3,6,6,-0.3381,1.426,1.3341,0,0.142563108979846,1,0.489372611036325
453.272,1,1,2,1,4,4,4,-0.698,-0.3735,-0.8893,0,0.0135937492854049,1,0.476700604210753
411.403,2,1,0.81721152,5,3,6,6,-0.1985,2.3985,1.5468,0,0.161473186782188,1,0.51685760542794
481.228,2,1,2,5,9,5,5,5.055876004,1.1583,0.9506,0,0.124819523802644,1,0.514714871983371
