"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","prop.score","weights"
424.657,1,1,1,6,3,4,6,-0.3381,2.1665,0.883,1,0.0809791040972601,1
342.303,1,1,2,3,3,6,6,-0.3381,0.5012,0.8909,1,0.069496688077875,1
461.858,1,1,1,6,4,6,6,1.0594,1.5391,1.231,1,0.163613599526038,1
483.804,2,1,1,4,3,5,5,-0.3381,0.9154,0.758,1,0.0870748078927152,1
426.432,1,1,1,4,4,6,6,0.6642,1.8542,1.4501,1,0.137407387498023,1
461.386,2,1,2,1,3,4,4,-0.6925,0.5465,-0.5099,1,0.0157445033779759,1
555.509,2,1,2,2,4,6,6,0.6087,1.1513,1.1092,1,0.0743900442673283,1
564.79,2,1,1,1,3,5,5,0.0575,-0.2115,0.3025,1,0.054591527106287,1
502.69,2,1,1,4,2,6,6,-0.6292,0.4006,0.73,1,0.106231505422191,1
444.737,2,1,2,4,4,6,6,0.045,0.4307,0.8237,1,0.0846252686552526,1
519.456,2,1,2,2,3,4,4,0.1674,0.5715,0.4705,1,0.0366622464015572,1
510.973,2,1,1,3,3,6,6,-0.3381,0.2114,0.3711,1,0.079310169118266,1
508.393,2,1,1,1,3,6,6,-0.3381,-0.7582,0.8,1,0.0926544891005169,1
378.806,2,1,2,0.690343208,3,5.721302558,6,-0.3381,-0.3789,0.5262,1,0.0481852576693777,1
247.555,2,2,2,3,2,4,4,-0.983,-1.0174,-0.3614,1,0.0190532359955383,1
388.311,2,1,1,3,2,4,4,-1.2158,0.8129,0.3112,1,0.0460533500721638,1
449.208,2,1,2,2,4,6,6,2.5915,0.1834,0.7328,0,0.0793314467432754,1
431.311,2,1,1,2,4,6,6,0.7934,-0.6551,0.4246,0,0.0897107708456691,1
386.696,2,1,2,1,4,6,6,2.5915,1.1211,1.4907,0,0.0978647179130707,1
551.788,2,2,2,3,4,2,2,0.6642,-1.7358,-1.8383,0,0.00636819201703934,1
535.433,2,1,1,6,3,6,6,-0.3259,3.185,2.0012,0,0.196293205733793,1
606.343,1,1,2,4,4,6,6,0.7934,-0.3114,0.303,0,0.0671761289520605,1
495.634,2,1,2,3,3,6,6,-0.6925,0.385,0.5589,0,0.059994841821172,1
582.725,2,1,2,3,3,6,6,-0.3381,-0.0448,0.6283,0,0.0686798428079889,1
577.668,1,1,1,5,3,6,6,-0.3381,1.4952,1.2149,0,0.130978784264042,1
492.879,2,1,2,3,2,6,6,-1.072,0.9373,0.4933,0,0.0514281998100148,1
478.486,2,1,1,3,2,6,6,-0.6749,1.0769,1.2058,0,0.113745514901822,1
468.214,1,1,2,1,4,6,6,2.5915,0.3256,1.157,0,0.0830265707962472,1
407.217,1,1,1,4,4,6,6,1.5611,1.3063,1.1661,0,0.134117336141741,1
365.269,2,1,1,3,1,6,6,-3.1297,1.4788,1.2295,0,0.0899994864923359,1
275.554,2,1,2,2,4,4,6,0.3171,0.9276,1.027,1,0.0516226581136027,1
572.615,1,1,1,6,3,6,6,-0.5753,2.602,1.8903,1,0.183176572332016,1
512.324,2,1,1,3,4,6,6,0.6642,0.2247,1.1199,1,0.134504684662503,1
576.733,2,1,2,2,3,4,6,0.1052,0.1812,0.8973,1,0.0521188441148883,1
545.421,1,1,2,3,3,4,6,-0.9306,0.091,0.3476,1,0.0358412922640558,1
475.189,2,1,1,5,4,4,6,1.398,2.3771,1.353,1,0.114152460535189,1
406.503,2,1,1,3,4,6,6,2.5915,0.6667,1.2824,1,0.160736864735391,1
512.725,2,1,2,3,3,5,6,-0.3381,0.0735,0.4858,1,0.0524822835503551,1
494.367,2,1,2,3,2,6,6,-0.7281,0.0719,0.4852,1,0.0597627094675525,1
588.762,1,1,1,5,3,6,6,-0.3381,1.5792,1.659,1,0.167136361214803,1
442.829,1,1,1,1,4,6,6,1.5043,1.591,1.3947,1,0.10297268927054,1
465.779,1,1,1,3,3,6,6,-0.3381,0.4567,1.0399,1,0.107307259548787,1
511.737,2,1,2,1,4,4,6,2.5915,-0.1258,0.1026,1,0.0353460401454509,1
698.706,2,1,2,4,4,6,6,0.6642,0.5224,1.25,1,0.113647550617779,1
570.42,1,1,1,4,4,6,6,0.6642,1.0911,1.4383,1,0.151053794652729,1
314.141,2,1,1,4,4,4,6,2.5915,1.7684,1.6872,1,0.14680468272429,1
390.726,1,1,1,1,3,5,5,-0.3627,0.1461,0.4753,1,0.0518116702614106,1
543.998,1,1,1,3,3,4,6,-0.3381,0.869,1.0261,1,0.073406336165762,1
494.948,1,1,1,5,1,6,6,-0.8995,0.706,1.1315,1,0.132979178861227,1
436.592,1,1,1,4,3,6,6,-0.66,0.6969,1.2935,1,0.132595753933642,1
523.18,2,1,1,2,4,6,6,0.4906,-0.1207,0.4971,1,0.0848841231390811,1
601.025,2,1,1,3,3,6,6,0.2947,-0.2695,0.9383,1,0.125699155058626,1
517.75,2,1,1,5,4,6,6,0.2091,0.8647,1.2518,1,0.162151306528624,1
466.831,2,1,1,3,3,6,6,-0.3381,1.8712,1.477,1,0.123001661170426,1
492.08,1,1,1,5,4,6,6,0.412,2.4143,1.7593,1,0.16759000735669,1
457.062,1,1,1,2,3,6,6,0.2067,0.9957,1.2793,1,0.106380967784545,1
428.222,1,1,2,2,4,4,4,0.6642,0.7256,0.7337,1,0.0410394250228355,1
463.281,1,1,1,1,3,6,6,-0.3381,1.6008,1.295,1,0.0836277968112409,1
418.192,2,1,2,2,4,6,6,2.5915,0.5787,0.7334,1,0.0749871569820483,1
510.693,2,1,1,2,4,6,6,-0.378,0.1043,0.9104,1,0.0988627038848533,1
475.42,2,1,1,5,3,6,6,-0.3381,2.0869,1.2464,1,0.131975149388251,1
270.3,2,1.344012851,2.046123862,4,2,6,6,-0.6981,0.316,0.8848,1,0.0731543317789749,1
470.814,1,1,1,2,3,6,6,-0.4838,1.4244,1.4162,1,0.103138359262015,1
451.531,2,1.145796808,2,3,4,4.488420496,3.891416134,1.5611,0.3775,-0.596,1,0.0247047401294678,1
536.435,2,1,1,2,3,6,6,-0.8307,0.3971,0.894,1,0.0906299755418197,1
512.292,1,1,2,3,4,6,6,-0.0621,-0.0934,0.5484,1,0.0624549979989178,1
494.647,2,1,2,3,4,6,6,1.5043,0.6045,1.1149,1,0.0980240778253889,1
479.353,1,1,1,3,3,6,6,0.0248,1.2423,1.2873,1,0.114840295816117,1
413.36,2,2,2,1,4,6,6,1.5043,-0.5329,0.7382,1,0.0492903265095457,1
431.436,1,1,1,3,4,6,6,0.3171,1.0354,1.2112,1,0.115488005683661,1
319.818,2,1,2,3,2,4,4,-0.0744,0.8742,0.5817,1,0.0420065777166722,1
368.487,2,1,1,1,2,5,5,-0.5608,0.324,1.3053,1,0.0900525522334575,1
483.18,1,1,1,4,3,6,6,-0.4725,0.8709,1.2334,1,0.126817804183332,1
543.15,2,1,1,3,2,6,6,-0.8828,0.8434,-0.0578,1,0.0528218608137672,1
616.847,2,1,1,5,3,4,6,-0.3381,1.6721,1.6518,1,0.131302534081283,1
519.272,1,1,1,5,4,6,6,0.6642,1.6815,1.0974,1,0.12863819341234,1
550.584,1,1,1,4,3,6,6,0.2418,0.9222,1.3763,1,0.144458196741172,1
507.547,1,1,1,6,2,6,6,-0.8616,1.7043,1.5604,1,0.167591119666442,1
381.788,1,1,2,3,7,6,6,3.603936999,1.4937,1.359,1,0.110137634639244,1
579.002,1,1,1,5,3,6,6,-0.4953,2.6689,1.8529,1,0.159974005629629,1
437.887,1,1,2,3,3,6,6,-0.3381,-0.0639,0.9105,1,0.0763207935204227,1
392.344,1,1,1,2,2,5,5,-0.6981,1.0299,0.5108,1,0.0514274921651575,1
547.864,1,1,1,6,4,6,6,2.5915,3.6527,2.0491,1,0.218403234733878,1
437.669,1,1,1,6,2,6,6,-1.044,3.4024,2.0604,1,0.175724332422882,1
537.457,1,1,1,5,3,6,6,0.42,1.3817,1.3798,1,0.154801787007018,1
523.665,1,1,1,6,3,6,6,-0.3381,2.051,1.1918,1,0.134767161028518,1
378.028,1,1,1,4,3,6,6,-0.3381,1.7674,1.3769,1,0.123438240133183,1
568.735,1,1,2,5,4,6,6,0.329,2.1953,1.7408,1,0.123787861928172,1
405.246,1,1,1,5,4,6,6,1.398,1.1001,1.049,1,0.142910935588552,1
434.906,1,1,1,4,1,6,6,-1.407,0.6622,0.2888,1,0.0681704977734577,1
573.038,1,1,1,4,3,6,6,-0.082,0.4146,0.9004,1,0.114166985430897,1
429.338,1,1,1,3,4,4,4,0.1885,0.5756,-0.3546,1,0.0323067625888805,1
445.043,1,1,2,1,3,5,6,-0.4725,0.5447,0.9482,1,0.0467194823750045,1
513.746,1,1,1,5,3,5,5,-0.5021,2.2663,1.2545,1,0.101187517486614,1
525.143,1,1,1,5,3,6,6,-0.3381,2.6212,1.546,1,0.136561277854988,1
396.168,1,1,1,4,4,6,6,0.4451,2.4707,1.4907,1,0.127355832277854,1
426.637,2,1,1,3,3,6,6,-0.3381,1.7938,1.18,1,0.104101669537514,1
629.254,2,1,2,4,3,6,6,-0.1144,1.3921,1.1977,1,0.0917603612585357,1
523.428,2,1,1,3,2,6,6,-1.072,1.6071,1.008,1,0.0908426811378464,1
437.398,2,1,2,3,7,6,6,3.135717054,1.9647,1.6561,1,0.127451959873926,1
457.949,2,1,2,2,4,6,6,0.9646,0.7205,0.2276,1,0.0466484305085298,1
489.808,2,1,1,1,4,6,6,-0.0644,1.5479,1.2549,1,0.0903362973276655,1
497.633,2,1,1,4,7,6,6,3.325330146,3.0439,2.0527,1,0.213466534492871,1
420.179,2,1,1,2,3,6,6,-0.3381,0.7132,1.0721,1,0.100463807797677,1
420.963,2,1,2,2,2,6,6,-1.1407,0.7999,0.7114,1,0.0527882725850052,1
425.905,2,1,2,1,3,6,6,-0.3381,0.379,0.1228,1,0.0361464093742617,1
462.513,2,1,2,3,2,6,6,-1.0137,0.7969,1.2269,1,0.0836760659995427,1
