Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
502.058,1,1,2,3,3,6,6,-0.3381,-0.0409,0.6504,1
457.046,1,1,1,3,4,6,6,2.5915,1.7829,1.5272,1
588.651,1,1,2,4,2,4,6,-0.4698,0.9986,1.3837,1
514.44,1,2,2,1,3,6,6,-0.3381,-0.1295,0.6385,1
539.116,2,1,2,3,4,2.650171218,2,1.0269,-0.2146,-1.1553,1
559.831,1,1,2,2,2,4,4,0.0048,-0.8568,-1.0876,1
515.662,1,1,2,3,3,6,6,0.0248,-0.788,0.3758,1
524.882,1,1,2,3,3,4,4,-0.082,0.9259,0.0841,1
513.679,1,1,1,3,1,6,6,-0.1314,0.357,0.8379,1
468.739,2,1,2,3,3,6,6,-0.5064,-0.2265,0.3549,1
612.282,1,1,1,3,3,6,6,0.3645,-0.6372,0.4726,1
527.816,2,1,2,2,2,4,4,-0.8144,-0.8555,-0.4259,1
381.14,2,1,1,4,3,6,6,-0.8307,1.7276,1.5689,1
506.065,2,1,1,2.952181619,4,4,4,0.6642,0.5513,0.0498,1
444.214,2,1.072195741,0.990229655,2.52209594,4,6,6,0.9357,0.347,0.6483,1
516.471,2,1,2,6,3,5,6,0.1313,-0.344,0.7043,1
469.017,2,1,2,1,4,6,6,1.398,0.4754,-0.3171,1
386.812,2,1,2,2,2,5,5,-0.983,-0.3855,-0.3104,1
448.849,2,1,2,3,4,4,4,0.6642,-0.2745,-0.3725,1
401.239,2,1,2.095593404,2,4,5,5,1.5043,-0.1046,0.0939,1
489.078,2,1,1,3.801579398,3,4,4,-0.2687,1.5712,0.7139,1
620.021,2,1,1,6,4,6,6,2.5915,1.9344,1.3143,1
415.099,2,1,1,4,3,6,6,-0.3381,-0.0184,-0.2506,1
399.489,2,1,1,4,4,6,6,1.5611,0.9672,0.9382,1
497.9,2,1,2,4,4,4,4,0.6642,1.578,0.4891,1
502.879,2,1,1,3,2,4,4,-1.0536,1.4883,0.7867,1
456.207,2,1,1,4,4,6,6,-0.7523,2.9929,1.4347,1
425.228,1,1,1,4,2,6,6,-0.8956,1.3145,1.0658,1
554.628,1,1,1,5,3,6,6,-0.1862,4.187,2.5347,1
486.582,1,1,1,5,3,6,6,-0.3381,0.7898,1.2243,1
