treat,Female,HOMEPOS,ESCS
0,1,0.726098033,1.236449781
0,0,-1.03653701,-0.27050754
0,0,2.239233762,1.4672966
0,0,-0.328440068,0.450401751
0,1,-0.365140214,-1.288863445
0,0,-0.43607327,-0.017136111
0,1,0.397235937,-0.340759974
0,0,-0.557584679,-1.146288748
0,0,0.569017294,0.916478557
0,1,0.154418721,0.811526047
0,0,0.999755707,1.10398072
0,1,0.210548357,0.584331868
0,1,1.556631599,1.321191018
0,1,1.611424815,-0.176999968
0,0,0.362900225,0.134935449
0,1,1.740440735,1.552159592
0,1,-1.265990027,-1.361550972
0,0,0.024169182,-0.450217406
0,1,-0.548640946,-0.420387516
0,0,1.356888225,0.736159918
0,1,0.054084428,0.61684036
0,1,0.192455288,0.752596796
0,1,-0.534659938,0.013424307
0,0,-0.708702929,-2.210789666
0,0,0.0790652,-1.196208155
0,0,0.023141167,0.779504574
0,1,-1.169150985,-0.796122371
0,1,0.501271086,0.741030104
0,1,0.338022255,-0.23568571
0,1,-0.144014122,0.706695292
0,1,-0.987809085,0.364686476
0,1,-0.301506067,-1.512770249
0,1,-0.433503232,-2.065901631
0,1,-1.446817919,0.139683881
1,1,-0.219162041,-0.458131458
1,0,-0.612275094,0.628772315
1,1,-0.075959509,0.836972769
1,1,0.886262818,1.293552712
1,1,-0.658330179,0.809943237
1,0,-0.123453816,0.992453459
0,0,1.622218975,1.198705839
0,0,0.201604624,-1.293855386
0,1,2.807623424,1.890881032
0,1,0.329284125,1.164371027
0,0,0.264724764,0.85949738
0,1,0.148456233,0.909538542
0,1,-0.152238244,0.854140175
0,0,1.145425476,1.393756791
0,0,-0.001082725,-0.006924403
0,1,0.208903533,-0.065472707
0,0,0.135914446,-1.297264516
0,0,-1.201533467,-0.885733794
0,0,-0.335224969,-0.201716162
0,1,-0.43340043,-0.022980334
0,0,-0.504950296,-1.802668074
0,0,-0.382616474,-1.195842891
0,1,-0.400915147,-2.070650062
0,1,-0.050670332,-0.379721463
0,0,-0.234685072,-0.364258622
0,1,-0.818494964,-1.933797834
0,0,-0.119547358,0.23940094
0,1,-0.586574711,-0.492222761
0,1,-0.118724945,-1.433264462
0,1,-1.412790612,0.305513716
0,1,-0.421681056,-0.006924403
0,1,0.37729244,0.455637201
0,1,-1.603179047,-0.85919128
0,0,2.625561914,2.063163864
0,0,2.225458357,1.838648287
0,1,-0.068454997,0.613796493
0,1,0.417385037,0.057986509
0,0,0.82530151,-0.149361662
0,1,0.510523223,0.714852854
0,0,-0.036072515,0.778895801
0,1,-0.952753763,-0.69689233
0,0,-0.17413497,0.291146667
0,1,0.00587051,-0.581590675
0,1,0.438253747,0.084650778
1,1,-0.157378321,0.122272965
1,0,-0.582565451,0.44041787
1,1,0.089756559,0.909173278
1,0,0.576007798,1.020091765
1,1,-0.577630978,0.266430473
1,1,0.237276755,0.822362211
1,0,0.699369635,-0.88354221
0,1,3.014665707,1.955776262
0,1,-0.884596348,-1.640856142
0,1,1.22694709,1.278333381
0,0,0.579194646,1.021552821
0,1,0.842263763,1.110920735
0,0,1.623349792,1.60183549
0,1,-0.479147112,-1.816548104
0,1,0.119260598,-0.003864854
0,1,-0.604564979,0.33022991
0,1,0.427973594,-0.91860755
0,0,1.531445224,0.656045357
0,0,-0.001082725,-0.006924403
0,0,0.735864178,0.591637147
0,1,1.315664811,1.19115705
0,1,1.150257148,1.093996839
0,0,0.021496342,0.250480613
0,1,1.050848068,0.351293465
0,0,-0.306029334,-0.571363284
0,0,0.576624608,-0.767631782
0,0,-2.42548849,-1.154202801
0,0,-1.49862989,-2.008676944
1,1,0.960485523,1.464252734
1,1,0.829721976,0.330595174
1,1,0.174053814,-0.374973031
0,0,0.792199417,-0.163850466
