"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","pscore"
438.968,1,1,1,1,3,5,5,-1.0036,0.0267,0.0595,0,0.028147239730608
450.331,1,1,2,5,4,6,6,0.6642,-0.2071,0.6306,0,0.105062066095112
548.551,1,1,1,5,3,6,6,-0.0699,4.187,2.1215,0,0.108645457646462
591.228,1,1,1,5,3,6,6,-0.9678,2.7577,1.5962,0,0.105869396982053
489.664,1,1,1,2,3,5,5,-0.3381,1.2018,0.7599,0,0.0618804143562413
413.561,1,1,2,1,3,4,4,-0.3381,-0.8373,-0.4192,0,0.0136765606026319
638.361,2,1,2,1,3,4,5,-0.3381,-0.8519,0.1085,0,0.0213367440544272
444.885,2,2,2,1,3,4,4,-0.3381,-1.0661,-1.0074,0,0.0157605867062436
328.889,2,2,1,2,2,5,5,-0.2511,0.9332,0.8472,0,0.0761913431900797
416.688,2,1,2,3,2,5,5,-1.1407,0.076,-0.7283,0,0.0233428237991476
492.996,2,1,1,3,3,4,5,-0.4725,0.0624,-0.382,0,0.0340541966409011
456.936,2,1,2,3,1,4,4,-3.1297,0.0124,-0.9376,0,0.00840545873202574
596.098,2,1,2,2,3,5,6,-0.3381,0.0796,0.8186,0,0.0585588622198725
407.743,2,1,1,3,1,6,6,-2.0732,-0.6951,0.4513,0,0.0507516174651777
428.419,2,1,2,1,4,4,5,-0.0621,-0.3764,-0.378,0,0.0153021402933028
449.007,2,1,1,5,3,4,4,-0.3381,1.1584,0.5622,0,0.0696705471120474
485.41,2,1,1,5,3,2,2,-0.3381,-0.5015,-0.9095,0,0.0396191355188827
525.643,2,1,1,4,4,4,4,0.1157,0.9947,0.254,0,0.0576352988999158
477.551,2,1,2,1,3,4,4,0.2526,-1.2502,-1.5421,0,0.00986179867872945
409.893,2,1,1,3,3,5,5,0.1052,0.2792,-0.137,0,0.049650513298706
423.38,2,1,2,1,4,4,4,0.6642,-0.6541,-1.1371,0,0.0124816878500389
399.748,2,1.065214129,2.593698479,1.089711193,0.900222713,1.610220737,3.271667286,-2.35403449,-1.349919499,-1.458321174,0,0.00221736650082952
339.491,2,1,2,3,3,2,2,-0.1613,-0.8401,-1.0752,0,0.0145123462198761
426.859,2,2,2,3,2,2,4,-0.7911,-0.5772,-0.365,0,0.0011932989240876
353.36,2,2,2,1,3,6,6,-0.3381,-0.8823,-0.568,0,0.0808638715249458
