Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
588.87,2,1,2,2,2,4,4,-0.6981,0.4916,-0.0755,0
421.494,2,1,1,3,3,5,5,0.1674,0.3805,0.1482,0
432.817,2,1,2,2,3,5,5,-0.5753,-0.3558,0.0635,0
344.67,2,1,2,1,2,2,2,-1.2871,1.1624,-0.5253,0
547.004,2,1,2,1,3,5,5,1.0676,-0.1451,0.5336,0
485.588,2,1,2,3,3,5,5,-0.3381,-0.0874,0.2035,0
381.663,2,1,2,3,4,2,2,0.6642,0.1036,-0.6458,0
466.484,2,1,1,4,3,6,6,-0.4725,0.613,1.056,0
497.637,2,1,1,4,3,6,6,0.5643,2.4309,1.6001,0
599.04,2,1,2,2,3,6,6,-0.3381,-0.0453,0.8967,0
269.759,2,2,2,3,3,5,5,-0.5753,-0.9763,-0.2293,0
529.566,2,1,2,3,4,4,6,2.5915,0.4426,0.7454,0
366.18,2,1,2,1,9,2,4,2.6093,-1.0401,-0.1425,0
375.803,2,2,2,1,9,0.053551105,1.017469544,2.805916065,-8.7421,-4.99624363,0
349.237,2,1,2,2,3,4,4,0.0499,-0.9089,-0.9415,0
411.164,2,1,1,3,3,4,4,-0.3381,0.6452,-0.019,0
435.331,2,1,2,1,3,4,4,-0.8714,-1.5007,-0.3531,0
456.34,2,1,1,5,4,5,5,0.7934,1.0508,0.5805,0
357.173,2,1,2,1,3,4,5,-0.604,-1.1942,-0.8438,0
577.256,2,1,2,3,4,6,6,2.5915,1.2595,1.2729,0
469.16,2,1,2,1,4,4,4,0.1985,-0.7693,-0.9108,0
431.939,2,1,1,6,3,5,5,0.0248,1.6335,0.7946,0
404.235,2,1,2,1,3,2,4,-1.2537,-0.7784,-1.1621,0
483.005,2,1,2,3,3,4,4,-0.6837,0.4671,-0.4151,0
576.065,2,1,2,5,4,6,6,2.5915,0.3977,0.9769,0
414.113,2,1,2,2,3,6,6,0.1313,0.0477,0.6209,0
450.785,2,1,2,3,3,4,4,-0.3381,0.0618,-0.0681,0
360.651,2,1,2,1,3,2,6,-0.3381,-1.7314,-0.4462,0
529.424,1,1,2,3,4,4,6,1.0269,1.3887,1.5477,0
621.628,1,1,2,4,4,6,6,0.5901,1.5004,1.3614,0
473.93,1,1,2,3,3,2,6,-0.5064,0.7865,0.2932,0
461.344,1,1,1,3,3,5,5,-0.1613,0.5083,0.4844,0
221.847,1,1,2,1,4,2,4,-0.3873,-1.1039,-1.0958,0
537.757,1,1,2,2,4,6,6,-0.0621,0.7589,0.9856,0
471.453,1,1,2,3,3,2,2,-0.3381,-0.4977,-1.3007,0
373.779,1,1,2,2,4,5,5,0.6642,-1.0954,0.1223,0
470.544,1,1,1,3,1,4,4,-1.2663,0.5716,0.3052,0
393.977,1,1,2,3,3,4,4,-0.2687,0.8323,-0.0329,0
613.17,1,1,2,4,4,5,6,2.5915,0.2377,0.7528,0
526.651,1,1,2,4,3,5,5,-0.3381,0.6307,0.2194,0
426.618,1,1,2,1,3,4,4,-0.4725,-0.5793,-0.7377,0
400.763,1,1,2,2,3,6,6,-0.604,0.1186,0.0388,0
580.073,1,1,2,2,3,4,4,-0.3725,-0.5197,-0.2405,0
421.201,1,1,2,2,3,5,5,0.7333,0.6177,-0.2399,0
438.816,1,1,2,6,2,4,4,-1.5827,0.2026,-0.7603,0
523.6,1,1,1,3,4,5,6,0.2638,0.6256,1.1433,0
514.355,1,1,1,5,4,2,5,0.9357,1.4103,1.0639,0
